Case,Set,FaultIndex,FaultStart,FaultEnd,Sensor,Samples,Detected,Delay,Anomalies,False alarms pre,False alarms post,False alarm rate
FaultyCase1,Set1_1,1,1566,5181,Air_Delivery_P,5811,True,1471.0,1823,0,14,0.006378132118451025
FaultyCase1,Set1_1,1,1566,5181,P_Bottom_Riser,5811,True,3096.0,333,0,12,0.005466970387243736
FaultyCase1,Set1_1,1,1566,5181,P_Top_Riser,5811,True,3082.0,447,125,80,0.09339407744874716
FaultyCase1,Set1_1,1,1566,5181,P_Top_Separator,5811,True,3083.0,393,108,78,0.0847380410022779
FaultyCase1,Set1_1,1,1566,5181,P_3Phase_Separator,5811,True,474.0,974,308,156,0.21138952164009112
FaultyCase1,Set1_1,1,1566,5181,Diff_P_Riser,5811,True,3093.0,322,0,8,0.0036446469248291574
FaultyCase1,Set1_1,1,1566,5181,Diff_P_VC404,5811,True,683.0,1215,0,564,0.2569476082004556
FaultyCase1,Set1_1,1,1566,5181,Air_In_Flow,5811,True,2805.0,4,0,3,0.001366742596810934
FaultyCase1,Set1_1,1,1566,5181,Water_In_Flow,5811,False,,0,0,0,0.0
FaultyCase1,Set1_1,1,1566,5181,Flow_Top_Riser,5811,True,86.0,2145,14,606,0.2824601366742597
FaultyCase1,Set1_1,1,1566,5181,Level_Top_Sep,5811,True,519.0,133,105,0,0.04783599088838269
FaultyCase1,Set1_1,1,1566,5181,Flow_Top_Sep_Out,5811,True,3113.0,82,0,4,0.0018223234624145787
FaultyCase1,Set1_1,1,1566,5181,Density_Top_Riser,5811,True,3104.0,207,0,10,0.004555808656036446
FaultyCase1,Set1_1,1,1566,5181,Density_Top_Sep_Out,5811,True,380.0,1443,11,622,0.2883826879271071
FaultyCase1,Set1_1,1,1566,5181,Density_Water_In,5811,False,,659,659,0,0.30022779043280184
FaultyCase1,Set1_1,1,1566,5181,Temp_Top_Riser,5811,True,0.0,5811,1566,629,1.0
FaultyCase1,Set1_1,1,1566,5181,Temp_Top_Sep_Out,5811,True,0.0,5811,1566,629,1.0
FaultyCase1,Set1_1,1,1566,5181,Temp_Water_In,5811,True,0.0,5811,1566,629,1.0
FaultyCase1,Set1_1,1,1566,5181,Level_3Phase_Sep,5811,True,0.0,5811,1566,629,1.0
FaultyCase1,Set1_1,1,1566,5181,Pos_VC501,5811,True,3134.0,296,0,61,0.027790432801822324
FaultyCase1,Set1_1,1,1566,5181,Pos_VC302,5811,False,,0,0,0,0.0
FaultyCase1,Set1_1,1,1566,5181,Pos_VC101,5811,False,,0,0,0,0.0
FaultyCase1,Set1_1,1,1566,5181,Pump_Current_PO1,5811,True,1065.0,2,0,0,0.0
FaultyCase1,Set1_2,1,657,3777,Air_Delivery_P,4467,True,1802.0,1395,0,76,0.05646359583952452
FaultyCase1,Set1_2,1,657,3777,P_Bottom_Riser,4467,True,2529.0,500,0,66,0.04903417533432392
FaultyCase1,Set1_2,1,657,3777,P_Top_Riser,4467,True,2407.0,981,123,270,0.2919762258543834
FaultyCase1,Set1_2,1,657,3777,P_Top_Separator,4467,True,2408.0,830,45,206,0.18647845468053492
FaultyCase1,Set1_2,1,657,3777,P_3Phase_Separator,4467,True,109.0,1364,377,312,0.5118870728083209
FaultyCase1,Set1_2,1,657,3777,Diff_P_Riser,4467,True,2481.0,451,0,15,0.011144130757800892
FaultyCase1,Set1_2,1,657,3777,Diff_P_VC404,4467,True,374.0,344,2,315,0.23551263001485884
FaultyCase1,Set1_2,1,657,3777,Air_In_Flow,4467,True,2703.0,420,0,2,0.0014858841010401188
FaultyCase1,Set1_2,1,657,3777,Water_In_Flow,4467,False,,0,0,0,0.0
FaultyCase1,Set1_2,1,657,3777,Flow_Top_Riser,4467,True,0.0,3841,547,633,0.8766716196136701
FaultyCase1,Set1_2,1,657,3777,Level_Top_Sep,4467,True,585.0,181,0,29,0.021545319465081723
FaultyCase1,Set1_2,1,657,3777,Flow_Top_Sep_Out,4467,True,2586.0,5,0,0,0.0
FaultyCase1,Set1_2,1,657,3777,Density_Top_Riser,4467,True,2438.0,451,0,19,0.01411589895988113
FaultyCase1,Set1_2,1,657,3777,Density_Top_Sep_Out,4467,True,2493.0,1190,0,680,0.5052005943536404
FaultyCase1,Set1_2,1,657,3777,Density_Water_In,4467,False,,0,0,0,0.0
FaultyCase1,Set1_2,1,657,3777,Temp_Top_Riser,4467,True,0.0,4467,657,689,1.0
FaultyCase1,Set1_2,1,657,3777,Temp_Top_Sep_Out,4467,True,0.0,4467,657,689,1.0
FaultyCase1,Set1_2,1,657,3777,Temp_Water_In,4467,True,0.0,4369,559,689,0.9271916790490342
FaultyCase1,Set1_2,1,657,3777,Level_3Phase_Sep,4467,False,,19,19,0,0.01411589895988113
FaultyCase1,Set1_2,1,657,3777,Pos_VC501,4467,True,2452.0,676,0,124,0.09212481426448738
FaultyCase1,Set1_2,1,657,3777,Pos_VC302,4467,False,,0,0,0,0.0
FaultyCase1,Set1_2,1,657,3777,Pos_VC101,4467,False,,0,0,0,0.0
FaultyCase1,Set1_2,1,657,3777,Pump_Current_PO1,4467,False,,0,0,0,0.0
FaultyCase1,Set1_3,1,691,3691,Air_Delivery_P,4321,True,1806.0,1266,0,71,0.05378787878787879
FaultyCase1,Set1_3,1,691,3691,P_Bottom_Riser,4321,True,2416.0,534,0,70,0.05303030303030303
FaultyCase1,Set1_3,1,691,3691,P_Top_Riser,4321,True,2407.0,566,0,202,0.15303030303030302
FaultyCase1,Set1_3,1,691,3691,P_Top_Separator,4321,True,2409.0,464,0,177,0.1340909090909091
FaultyCase1,Set1_3,1,691,3691,P_3Phase_Separator,4321,True,2409.0,814,51,358,0.3098484848484849
FaultyCase1,Set1_3,1,691,3691,Diff_P_Riser,4321,True,2415.0,471,0,11,0.008333333333333333
FaultyCase1,Set1_3,1,691,3691,Diff_P_VC404,4321,True,0.0,3416,645,358,0.7598484848484849
FaultyCase1,Set1_3,1,691,3691,Air_In_Flow,4321,True,2710.0,291,0,0,0.0
FaultyCase1,Set1_3,1,691,3691,Water_In_Flow,4321,False,,0,0,0,0.0
FaultyCase1,Set1_3,1,691,3691,Flow_Top_Riser,4321,True,113.0,465,21,42,0.04772727272727273
FaultyCase1,Set1_3,1,691,3691,Level_Top_Sep,4321,True,2507.0,100,0,55,0.041666666666666664
FaultyCase1,Set1_3,1,691,3691,Flow_Top_Sep_Out,4321,True,2442.0,8,0,0,0.0
FaultyCase1,Set1_3,1,691,3691,Density_Top_Riser,4321,True,2427.0,372,0,11,0.008333333333333333
FaultyCase1,Set1_3,1,691,3691,Density_Top_Sep_Out,4321,True,0.0,4225,691,617,0.990909090909091
FaultyCase1,Set1_3,1,691,3691,Density_Water_In,4321,False,,0,0,0,0.0
FaultyCase1,Set1_3,1,691,3691,Temp_Top_Riser,4321,True,0.0,4321,691,629,1.0
FaultyCase1,Set1_3,1,691,3691,Temp_Top_Sep_Out,4321,True,0.0,4321,691,629,1.0
FaultyCase1,Set1_3,1,691,3691,Temp_Water_In,4321,True,0.0,4321,691,629,1.0
FaultyCase1,Set1_3,1,691,3691,Level_3Phase_Sep,4321,False,,28,0,28,0.021212121212121213
FaultyCase1,Set1_3,1,691,3691,Pos_VC501,4321,True,2433.0,475,0,31,0.023484848484848483
FaultyCase1,Set1_3,1,691,3691,Pos_VC302,4321,False,,0,0,0,0.0
FaultyCase1,Set1_3,1,691,3691,Pos_VC101,4321,False,,0,0,0,0.0
FaultyCase1,Set1_3,1,691,3691,Pump_Current_PO1,4321,False,,0,0,0,0.0
FaultyCase2,Set2_1,1,2244,6616,Air_Delivery_P,9192,False,,0,0,0,0.0
FaultyCase2,Set2_1,1,2244,6616,P_Bottom_Riser,9192,False,,0,0,0,0.0
FaultyCase2,Set2_1,1,2244,6616,P_Top_Riser,9192,True,294.0,264,188,63,0.05208549491595767
FaultyCase2,Set2_1,1,2244,6616,P_Top_Separator,9192,False,,176,137,39,0.036522100020751194
FaultyCase2,Set2_1,1,2244,6616,P_3Phase_Separator,9192,True,1501.0,885,434,412,0.17555509441792902
FaultyCase2,Set2_1,1,2244,6616,Diff_P_Riser,9192,False,,0,0,0,0.0
FaultyCase2,Set2_1,1,2244,6616,Diff_P_VC404,9192,True,30.0,573,18,4,0.004565262502593899
FaultyCase2,Set2_1,1,2244,6616,Air_In_Flow,9192,False,,0,0,0,0.0
FaultyCase2,Set2_1,1,2244,6616,Water_In_Flow,9192,False,,0,0,0,0.0
FaultyCase2,Set2_1,1,2244,6616,Flow_Top_Riser,9192,True,0.0,3624,1084,192,0.26478522515044617
FaultyCase2,Set2_1,1,2244,6616,Level_Top_Sep,9192,True,220.0,553,163,92,0.05291554264370201
FaultyCase2,Set2_1,1,2244,6616,Flow_Top_Sep_Out,9192,False,,0,0,0,0.0
FaultyCase2,Set2_1,1,2244,6616,Density_Top_Riser,9192,False,,0,0,0,0.0
FaultyCase2,Set2_1,1,2244,6616,Density_Top_Sep_Out,9192,True,474.0,3208,0,163,0.03382444490558207
FaultyCase2,Set2_1,1,2244,6616,Density_Water_In,9192,False,,1171,1060,111,0.2429964722971571
FaultyCase2,Set2_1,1,2244,6616,Temp_Top_Riser,9192,True,0.0,9008,2060,2575,0.9618178045237601
FaultyCase2,Set2_1,1,2244,6616,Temp_Top_Sep_Out,9192,True,0.0,8913,1965,2575,0.9421041709898319
FaultyCase2,Set2_1,1,2244,6616,Temp_Water_In,9192,True,0.0,8325,1377,2575,0.8200871550114132
FaultyCase2,Set2_1,1,2244,6616,Level_3Phase_Sep,9192,True,0.0,9192,2244,2575,1.0
FaultyCase2,Set2_1,1,2244,6616,Pos_VC501,9192,False,,0,0,0,0.0
FaultyCase2,Set2_1,1,2244,6616,Pos_VC302,9192,False,,0,0,0,0.0
FaultyCase2,Set2_1,1,2244,6616,Pos_VC101,9192,True,3604.0,713,0,0,0.0
FaultyCase2,Set2_1,1,2244,6616,Pump_Current_PO1,9192,False,,0,0,0,0.0
FaultyCase2,Set2_2,1,476,2656,Air_Delivery_P,3496,False,,12,0,12,0.009125475285171103
